Feature,Importance
Global_intensity,0.9992623318589599
Voltage,0.00028875335201283223
Sub_metering_3,0.0001208272669079572
month_cos,7.63134922867184e-05
Sub_metering_2,5.320755700220774e-05
lag_1h,3.144089630736433e-05
Sub_metering_1,2.6441995649760893e-05
rolling_mean_24h,2.6374971221200172e-05
hour_cos,2.6075268750045513e-05
month_sin,1.9291474180966067e-05
rolling_std_24h,1.0535769161843543e-05
lag_24h,1.0308577937947472e-05
lag_48h,8.190165328004424e-06
lag_168h,8.095012114409532e-06
quarter,7.899008778419928e-06
lag_3h,7.761938911593727e-06
lag_2h,7.4949678547045695e-06
hour_sin,5.846074958624429e-06
day_of_week,2.3851958375172996e-06
is_weekend,4.2515583815993975e-07
